,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
194,Memphis,AAC,,7,23,68.9,77.4,-8.47,0.13,3.68,-3.95,5.02,-9.81,-4.79,94.48,101.2,-6.72,-5.39
195,Central Michigan,MAC,,14,17,64.4,67.1,-2.68,0.93,-1.68,-1.02,-2.06,-2.76,-4.82,86.53,93.34,-6.81,-5.8
196,Northern Colorado,Big Sky,,14,17,63.7,61.1,2.61,1.97,-1.98,-3.08,-6.75,1.83,-4.91,86.45,94.43,-7.98,-5.84
197,Bucknell,Patriot,,17,14,60.7,58.7,2.06,4.13,-7,-3.81,-6.12,1.19,-4.93,89.08,95.81,-6.73,-5.81
198,Idaho State,Big Sky,,14,17,61.9,65,-3.06,4.81,0.27,-5.42,-4.13,-0.95,-5.08,88.15,95.73,-7.58,-5.78
199,Nevada,MWC,,11,21,62.3,65.8,-3.41,-3.09,0.65,-0.99,-4.62,-0.46,-5.08,88.2,96.33,-8.13,-6.22
200,FDU,NEC,,29,4,67,55.2,11.79,-2.97,-15.7,-1.53,-6.56,1.44,-5.12,91.82,97.62,-5.8,-6.18
201,East Tennessee State,Southern,,17,13,59.9,55.8,4.03,-9.65,-6.72,5.09,-10.52,5.33,-5.18,83.84,90.59,-6.76,-6.83
202,Lipscomb,A-Sun,,20,12,74.5,68.9,5.66,2.37,-7.34,-5.22,2.38,-7.85,-5.47,95.7,103.45,-7.75,-6.87
203,Georgia Southern,Sun Belt,,16,18,66.5,65.7,0.76,2.53,-5.4,-7.19,-2.12,-3.47,-5.58,88.16,96.05,-7.89,-7.17
204,Xavier,Big East,,7,24,51.1,62.5,-11.32,-3.61,5.68,0.44,-10.73,5.09,-5.64,80.41,90.31,-9.9,-6.42
205,Louisiana-Monroe,Sun Belt,,11,19,67.6,69.9,-2.33,3.91,-0.49,-4.84,-0.35,-5.35,-5.7,90.58,98.56,-7.98,-7.01
206,Tennessee-Martin,OVC,,13,19,67.4,68.5,-1.13,5.16,-3.12,-9.22,-0.92,-4.92,-5.83,89.33,97.18,-7.85,-6.27
207,Eastern Washington,Big Sky,,11,20,64.9,66.2,-1.35,2.61,-0.93,-3.08,-1.98,-3.88,-5.86,85.01,93.75,-8.74,-7.36
208,Georgia State,Sun Belt,,17,16,65.2,67.5,-2.39,0.82,-0.97,-2.74,-3.77,-2.32,-6.1,84.28,92.95,-8.67,-7.26
209,Navy,Patriot,,19,12,66,61.1,4.87,-3.06,-9.2,0.41,-3.13,-2.97,-6.1,84.63,93.62,-8.99,-7.48
210,Valparaiso,MVC,,13,19,64.1,67.7,-3.66,2.66,0.19,-3.26,-3.42,-2.7,-6.11,86.73,95.45,-8.72,-7.85
211,Loyola Marymount,WCC,,14,16,63.1,64.3,-1.17,-4.68,-1.37,-0.01,-4.49,-1.63,-6.12,89.62,99.39,-9.76,-8.02
212,Coppin State,MEAC,,19,15,63.1,63.5,-0.44,5.36,-5.75,-6.3,-5.67,-0.59,-6.26,85.91,94.98,-9.07,-8.85
213,High Point,Big South,,21,12,67.1,58.5,8.64,0.53,-12.81,-6.21,-5.04,-1.45,-6.49,86.11,95.43,-9.32,-8.86
214,Florida Atlantic,AAC,,11,21,60.2,65.8,-5.63,0.24,-0.89,-4.43,-5.41,-1.1,-6.51,84.85,94.89,-10.04,-8.52
215,UC Santa Barbara,Big West,,18,13,63.1,58.6,4.42,-0.39,-8.47,-2.7,-5.77,-0.74,-6.51,90.52,99.87,-9.36,-7.67
216,Sacramento State,Big Sky,,15,18,63.3,63.5,-0.27,-1.26,-4.31,-1.59,-6.15,-0.38,-6.53,83.96,93.35,-9.39,-8.96
217,Drexel,CAA,,17,13,59.4,59,0.37,5.15,-5.53,-7.67,-8.01,1.44,-6.57,86.75,96.18,-9.43,-8.91
218,Nicholls State,Southland,,17,14,60.7,59.5,1.23,6.19,-7.32,-10.22,-7.43,0.85,-6.59,85.02,94.46,-9.44,-9.19
219,Kennesaw State,CUSA,,13,18,62.2,64.5,-2.26,3.43,-1.92,-7.06,-3.74,-2.98,-6.72,84.42,94.34,-9.92,-9.02
220,Mount St. Mary's,MAAC,,15,16,64,62.9,1.03,10.84,-7.78,-10.63,-3.6,-3.15,-6.75,84.81,94.87,-10.06,-10.98
221,Western Illinois,OVC,,17,17,71.6,68.8,2.74,-6.27,-6.99,1.47,0.72,-7.49,-6.77,90.85,100.88,-10.03,-10.28
222,North Dakota,Summit,,12,19,66.3,70.1,-3.77,-0.33,-0.85,-3.6,-1.17,-5.68,-6.85,87.15,97.09,-9.95,-8.71
223,Jacksonville State,CUSA,,10,20,59.4,60.2,-0.87,-10.61,-2.25,4.11,-9.87,3.01,-6.86,80.61,90.98,-10.37,-9.3
224,Northwestern State,Southland,,16,16,62.8,60.5,2.25,1.86,-3.99,-6.2,-5.6,-1.33,-6.93,84.11,93.83,-9.72,-9.28
225,Incarnate Word,Southland,,18,14,61.2,59.7,1.53,3.53,-3.54,-5.61,-7.88,0.34,-7.54,84.82,95.24,-10.43,-9.59
226,Maine,AmEast,,15,16,58.3,58.5,-0.23,-6.34,-5.47,1.28,-8.15,0.54,-7.6,88.25,100.26,-12.01,-9.92
227,Texas-Rio Grande Valley,Southland,,16,16,60.8,60.9,-0.09,4.78,-4.09,-7.73,-7.36,-0.3,-7.66,83.85,94.25,-10.4,-10.32
228,Manhattan,MAAC,,16,15,61.7,58.9,2.84,5.48,-10.64,-9.19,-6.82,-0.99,-7.8,85.21,96.13,-10.92,-8.99
229,UC Riverside,Big West,,17,15,58.4,57.6,0.84,2.34,-7.25,-7.29,-9.58,1.66,-7.92,83.31,94.47,-11.16,-9.93
230,Maryland-Eastern Shore,MEAC,,14,17,61.4,60.8,0.55,1.23,-5.16,-5.4,-6.74,-1.2,-7.93,81.42,92.75,-11.32,-8.7
231,Weber State,Big Sky,,13,16,64.4,67.8,-3.34,-5.29,-2.57,1.4,-2.99,-4.94,-7.93,88.56,99.85,-11.3,-9.74
232,Appalachian State,Sun Belt,,13,17,65.2,68,-2.77,-2.38,-1.04,-2.6,-4.2,-3.77,-7.96,87.58,99.01,-11.44,-9.78
233,Jacksonville,A-Sun,,14,17,68.7,71.9,-3.23,-6.24,-4.02,-1.03,-0.33,-7.72,-8.05,87.89,99.15,-11.26,-9.09
234,Charlotte,AAC,,11,21,59.1,66.9,-7.75,-12.42,-0.57,5.34,-5.5,-2.81,-8.32,85.15,97.38,-12.22,-10.63
235,Denver,Summit,,9,21,63.8,67.5,-3.67,2.78,-3.23,-6.01,-4.78,-3.6,-8.38,89.1,101.53,-12.43,-9.9
236,Alabama A&M,SWAC,,21,11,64,61.1,2.97,5.27,-11.35,-9.41,-6.27,-2.12,-8.39,84.51,96.29,-11.78,-9.59
237,George Washington,A-10,,13,18,58.3,61.3,-3.03,0.29,-3.57,-7.06,-8.06,-0.35,-8.41,82.99,95.17,-12.18,-11.02
238,Little Rock,OVC,,14,16,62.1,66,-3.87,0.65,-2.99,-5.98,-7.37,-1.17,-8.54,85.23,96.95,-11.72,-10.81
239,Northern Kentucky,Horizon,,11,21,65.3,69.3,-4.03,-2.66,-3.97,-4.04,-1.67,-6.91,-8.58,89.1,101.85,-12.75,-10.88
240,Delaware,CAA,,13,17,63.1,64.3,-1.2,0.97,-7.47,-6.12,-3.74,-4.93,-8.67,86.23,99.04,-12.81,-10.22
241,Texas A&M-Corpus Christi,Southland,,15,17,61.2,58.4,2.84,-3.87,-5.4,-3.56,-8.72,0,-8.73,79.98,92.38,-12.4,-11.75
242,Northern Illinois,MAC,,13,17,67.5,71.1,-3.6,-1.9,-3.43,-3.17,-0.54,-8.27,-8.81,89.14,102.04,-12.89,-10.82
243,Long Beach State,Big West,,16,14,68.2,68.7,-0.53,4.97,-5.84,-7.66,1.07,-9.97,-8.91,87.18,99.15,-11.97,-11.81
244,Bellarmine,A-Sun,,18,15,74.5,73.1,1.42,3.69,-8.34,-10.36,3.28,-12.26,-8.98,89.81,102.35,-12.54,-12.11
245,UTEP,CUSA,,11,19,60.5,66.1,-5.57,0.4,-1.98,-3.56,-5.16,-3.9,-9.05,87.01,100.76,-13.75,-11.72
246,Florida International,CUSA,,11,19,64,66.6,-2.63,-3.3,-2.67,-1.58,-4.26,-4.82,-9.08,84.85,98.43,-13.58,-11.14
247,Robert Morris,Horizon,,15,16,60.4,61.7,-1.32,-6.58,-7.02,0.25,-8.84,-0.35,-9.19,82.92,96.2,-13.28,-11.6
248,Sam Houston,CUSA,,13,17,60.7,63.1,-2.43,4.74,-2.37,-8.97,-7.04,-2.15,-9.19,79.5,92.62,-13.12,-11.56
249,California Baptist,WAC,,12,19,65.9,73.5,-7.58,-0.19,-1.83,-4.49,-0.29,-9.12,-9.41,89.52,103,-13.48,-11.25
250,South Dakota,Summit,,11,20,65.8,72.2,-6.39,2.22,0.21,-6.5,-3.34,-6.1,-9.43,89.21,103.59,-14.38,-12.18
251,Western Michigan,MAC,,12,18,57.6,64,-6.4,-3.42,-2.11,-1.19,-9.88,0.39,-9.49,84.44,98.64,-14.21,-11.9
252,Omaha,Summit,,14,17,67.7,73.5,-5.81,0.61,-0.08,-7.33,-1.57,-7.96,-9.53,86.19,98.83,-12.64,-12.54
253,Cornell,Ivy,,7,20,52.7,59.9,-7.22,-2.48,-2.32,-3.62,-12.35,2.8,-9.54,80.98,95.76,-14.78,-12.53
254,Texas State,Sun Belt,,13,17,62.1,66.2,-4.03,-6.39,-2.37,-0.16,-7.35,-2.2,-9.55,82.43,96.16,-13.73,-13.13
255,San Diego,WCC,,7,24,60.5,65,-4.52,0.06,-1.83,-5.68,-6.38,-3.18,-9.56,84.73,99.03,-14.3,-13.75
256,Towson,CAA,,12,20,59.2,62.1,-2.97,-4.1,-6.59,-4.59,-7.97,-1.59,-9.56,80.99,94.9,-13.91,-12.79
257,Cal Poly,Big West,,14,18,57.6,60.2,-2.59,-0.63,-4.33,-6.48,-9.38,-0.32,-9.7,81.54,95.71,-14.17,-13.4
258,Austin Peay,A-Sun,,13,18,59.1,63.8,-4.71,6.39,-5.15,-6.51,-10.8,0.79,-10.01,81.5,95.23,-13.73,-13.35
259,Longwood,Big South,,22,12,68.9,59.3,9.56,0.58,-15.53,-7.96,-5.82,-4.36,-10.17,79.57,94.81,-15.24,-13.35
260,Southern Mississippi,Sun Belt,,10,21,61,67.4,-6.39,-0.4,-1.81,-4.72,-7.75,-2.47,-10.22,83.86,98.62,-14.76,-13.72
261,Siena,MAAC,,17,14,64.6,65.8,-1.16,-5.03,-9.21,-1.53,-3.02,-7.35,-10.37,87.97,102.45,-14.49,-13.23
262,Monmouth,CAA,,16,15,62.3,63.2,-0.94,-0.3,-9.48,-3.02,-5.7,-4.71,-10.41,84.94,99.8,-14.86,-14.53
263,Furman,Southern,,16,16,67.8,64.6,3.19,-7.55,-7.77,-0.45,-2.54,-7.88,-10.42,85.43,100.63,-15.21,-14.17
264,Elon,CAA,,15,15,58.5,61.7,-3.23,-9.31,-5.68,-1.15,-10.43,-0.11,-10.54,78.33,93.6,-15.27,-14.74
265,Bryant,AmEast,,17,15,58,59.2,-1.25,-7.49,-8.64,-2.94,-9.07,-1.61,-10.68,82.73,98.77,-16.04,-13.91
266,Pepperdine,WCC,,8,22,56.3,65.6,-9.33,-9.39,-1.45,0.44,-9.5,-1.28,-10.78,81.43,97.86,-16.42,-14.96
267,Kansas City,Summit,,12,21,65.6,70.2,-4.61,1.81,-1.48,-11.4,-4.69,-6.19,-10.88,85.64,100.91,-15.28,-14.92
268,Stony Brook,CAA,,12,18,58.9,61.5,-2.6,-3.7,-7.13,-4.14,-8.04,-3.08,-11.13,83.96,100.72,-16.77,-15.67
269,Marist,MAAC,,16,15,57.9,59,-1.06,-3.63,-10.09,-0.31,-10.34,-0.82,-11.16,81.04,97.13,-16.09,-16.29
270,Loyola (IL),A-10,,13,17,58.1,64,-5.83,-6.09,-3.94,-3.73,-9.16,-2.03,-11.19,82.76,99.25,-16.49,-17.01
271,Binghamton,AmEast,,15,15,59.8,58,1.87,1.77,-9.42,-10.72,-8.42,-2.82,-11.24,85.16,101.46,-16.3,-16.58
272,San Jose State,MWC,,10,22,65.3,72.1,-6.75,-0.93,-1.36,-7.16,-2.02,-9.3,-11.32,86.16,102.04,-15.88,-15.43
273,Indiana State,MVC,,4,28,65.8,78.1,-12.38,-9.47,0.98,0.41,-0.21,-11.18,-11.39,85.33,100.41,-15.08,-16.17
274,William & Mary,CAA,,16,19,61.9,67.1,-5.11,-9.67,-5.47,-1.93,-4.3,-7.15,-11.44,83.12,99.82,-16.7,-17.25
275,Detroit Mercy,Horizon,,15,15,63.9,70,-6.1,-7.52,-4.4,-2.29,-4.7,-6.91,-11.61,82.33,98.32,-15.99,-17.52
276,Hofstra,CAA,,14,16,58.4,62.1,-3.77,-6.23,-7.97,-2,-9.71,-2.03,-11.74,79.65,96.7,-17.06,-17.56
277,Western Carolina,Southern,,13,17,69.9,68.3,1.57,-4.6,-6.79,-4.52,-2.28,-9.51,-11.79,87.59,103.72,-16.14,-16.59
278,NJIT,AmEast,,11,19,63.7,65,-1.37,-2.1,-10.55,-4.33,-2.91,-9,-11.92,85.5,103.39,-17.9,-16.06
279,North Alabama,A-Sun,,13,17,66.9,68.2,-1.33,-5.3,-8.08,-6.74,-4.95,-7.02,-11.98,87.76,104.99,-17.23,-18.54
280,Stetson,A-Sun,,16,15,67.6,69,-1.42,7.03,-7.4,-9.35,-4.04,-8.22,-12.26,84.72,101.93,-17.21,-18.4
281,Samford,Southern,,12,19,66.9,70.9,-3.94,-8.19,-1.58,0.05,-3.48,-8.8,-12.28,84.75,101.43,-16.68,-17.2
282,Akron,MAC,,10,21,62.6,67.7,-5.13,-4.69,-4.7,-4.93,-6.18,-6.21,-12.39,85.05,103.27,-18.22,-19.24
283,La Salle,A-10,,10,23,56.6,66.9,-10.24,-4.23,-0.31,-5.39,-8.44,-3.97,-12.41,78.86,96.42,-17.55,-19.44
284,Merrimack,MAAC,,14,17,59.5,62.9,-3.42,0.33,-8.99,-13.4,-8.26,-4.15,-12.41,80.08,97.46,-17.38,-20.43
285,Utah State,MWC,,4,27,65.5,78,-12.55,-2.65,0.07,-8,0.15,-12.63,-12.48,85.66,102.57,-16.9,-20.56
286,Milwaukee,Horizon,,8,24,60.9,68.1,-7.22,8.38,-4.39,-18.1,-7.32,-5.33,-12.65,83.27,101.48,-18.21,-19.5
287,UNC Wilmington,CAA,,14,18,64.2,66.4,-2.22,0.72,-6.5,-13.56,-4.62,-8.17,-12.8,83.01,100.97,-17.96,-19.19
288,Grambling,SWAC,,15,15,66.8,65.7,1.1,-8.61,-8.24,-2.26,-4.46,-8.37,-12.83,79.92,96.92,-17,-18.01
289,IU Indy,Horizon,,9,21,63.4,70.8,-7.4,-6.07,-5.51,-5.93,-3.55,-9.36,-12.91,83.95,102.66,-18.71,-17.88
290,Southern Utah,WAC,,9,21,60,66.7,-6.7,-7.37,-2.53,-2.89,-8.56,-4.4,-12.95,82.41,101.5,-19.09,-21.66
291,West Georgia,A-Sun,,13,17,67.3,68.7,-1.4,-4,-8.26,-9.73,-4.53,-9.02,-13.55,83.59,102.44,-18.85,-20.54
292,Loyola (MD),Patriot,,9,21,56.4,61,-4.63,-2.3,-7.55,-11.45,-11.95,-1.91,-13.86,80.67,101.58,-20.91,-19.74
293,Texas Southern,SWAC,,17,16,66.2,67.5,-1.36,-4.31,-9.62,-5.45,-4.66,-9.25,-13.9,80.71,99.68,-18.97,-19.53
294,Boston University,Patriot,,12,19,57.7,64.4,-6.65,-6.32,-7.26,-7.6,-8.65,-5.26,-13.91,83.22,103.88,-20.66,-19.72
295,Youngstown State,Horizon,,12,19,59.7,62.8,-3.1,-8.27,-6.36,-4.57,-11.17,-2.76,-13.93,78,97.54,-19.54,-19.52
296,Maryland-Baltimore County,AmEast,,14,15,57.3,59.1,-1.83,-9.7,-8.19,-1.52,-11.45,-2.67,-14.12,78.68,100.03,-21.35,-20.02
297,Florida A&M,SWAC,,9,21,65,66.7,-1.77,-8.13,-10.12,-5.45,-6.38,-7.84,-14.23,82.17,102.26,-20.09,-19.17
298,Jackson State,SWAC,,16,15,59,63.5,-4.48,-2.13,-10.05,-8.42,-10.46,-4.07,-14.53,79.32,99.09,-19.77,-19.28
299,Wright State,Horizon,,10,22,63.4,71.5,-8.03,-10.29,-6.36,-4,-5.41,-9.21,-14.61,83.5,103.62,-20.11,-20.06
300,Sacred Heart,MAAC,,9,20,58.9,64.2,-5.34,-4.17,-8.5,-7.62,-8.92,-5.72,-14.64,79.23,99.54,-20.31,-22.31
301,New Orleans,Southland,,5,24,60.6,72.1,-11.59,-6.69,-3.13,-7.94,-4.19,-10.53,-14.71,79.48,98.44,-18.95,-21.4
302,Tennessee State,OVC,,10,21,64.7,72.6,-7.94,-9.13,-6.25,-3.84,-4.9,-9.88,-14.78,80.42,100.51,-20.08,-18.76
303,Oakland,Horizon,,9,22,59.4,71.1,-11.68,-11.4,-1.52,-3.54,-8.02,-7.03,-15.05,81.13,103.01,-21.88,-21.77
304,Dartmouth,Ivy,,8,19,54.2,62.3,-8.07,-4.48,-2.44,-9.99,-13.36,-1.75,-15.12,77.4,101.09,-23.69,-21.89
305,New Hampshire,AmEast,,10,20,53,58.5,-5.47,-7.88,-7.85,-4.89,-14.3,-0.9,-15.2,75.75,98.36,-22.61,-21.7
306,Evansville,MVC,,7,25,61.6,74.4,-12.75,-13.17,-1,-2.28,-6.46,-8.77,-15.23,78.53,99.37,-20.84,-21.05
307,Portland State,Big Sky,,4,24,55.9,68.2,-12.36,-7.74,-2.89,-7.74,-10.56,-4.69,-15.24,82.15,104.79,-22.64,-21.98
308,Saint Peter's,MAAC,,11,19,53.2,58.7,-5.5,-3.39,-9.75,-7.57,-15.19,-0.06,-15.25,79.34,101.73,-22.39,-22.78
309,East Texas A&M,Southland,,7,22,62.9,70.1,-7.21,-11,-4.8,-3.04,-5.89,-10.2,-16.1,82.87,104.43,-21.56,-21.77
310,Lafayette,Patriot,,10,21,56.4,66.7,-10.39,-0.78,-6.06,-9.61,-10.52,-5.92,-16.44,82.84,108.06,-25.21,-21.92
311,South Alabama,Sun Belt,,6,24,62.6,73.7,-11.13,-16.19,-3.12,1.98,-5.71,-10.84,-16.55,81.14,103.55,-22.41,-21.74
312,Iona,MAAC,,11,21,55.6,62.8,-7.19,0.53,-9.51,-11.24,-12.78,-3.92,-16.7,78.67,102.16,-23.49,-22.17
313,Radford,Big South,,14,17,62.5,65.5,-3.06,-2.74,-10.46,-10.55,-9.55,-7.14,-16.7,79.63,103.12,-23.49,-22.5
314,Cal State Fullerton,Big West,,7,23,58.4,63.7,-5.3,-15.55,-7.83,0.62,-10.33,-6.78,-17.11,78.54,103.32,-24.78,-23.18
315,Mercer,Southern,,8,22,52.5,64.1,-11.63,-6.9,-5.69,-6.69,-14.24,-3.08,-17.32,75.57,101.24,-25.67,-23.85
316,Alcorn State,SWAC,,14,18,59.6,65.3,-5.75,-5.84,-8.76,-9.5,-10.72,-6.64,-17.36,80.24,104.62,-24.37,-23.18
317,Hampton,CAA,,8,23,58.3,68.2,-9.9,-14.97,-6.84,-2.57,-9.66,-7.75,-17.41,76.93,101.92,-24.98,-24.39
318,Eastern Michigan,MAC,,2,27,60,76.7,-16.69,-7.93,-0.73,-2.69,-5.79,-11.63,-17.42,86.22,111.25,-25.03,-27.61
319,Charleston Southern,Big South,,14,16,57.3,65.8,-8.47,-4.52,-9.16,-10.8,-11.59,-6.03,-17.62,77.44,101.88,-24.44,-24.46
320,Yale,Ivy,,4,23,53.2,70.1,-16.96,-16.3,-0.76,-0.98,-10.53,-7.19,-17.72,78.01,103.89,-25.88,-25.31
321,Morehead State,OVC,,10,20,67.6,72.7,-5.13,-6.45,-7.45,-6.89,-5.98,-11.77,-17.75,79.55,103.61,-24.06,-23.7
322,Utah Tech,WAC,,6,25,62.8,74.7,-11.94,-10.6,-3.82,-7.65,-5.36,-12.73,-18.09,80.98,105.8,-24.82,-27.8
323,SIU Edwardsville,OVC,,6,23,62.9,73.6,-10.69,-10.97,-6.13,-6.39,-6.35,-12.11,-18.46,82,107.15,-25.15,-27.66
324,Queens (NC),A-Sun,,10,19,65.3,70,-4.69,-9.16,-9.04,-8.01,-7.3,-11.26,-18.56,79.19,104.54,-25.35,-27.15
325,Morgan State,MEAC,,13,17,59.3,64.9,-5.57,-13.32,-9.99,-1.95,-11.54,-7.16,-18.69,75.32,101.49,-26.17,-26.62
326,Gardner-Webb,Big South,,11,18,66.1,70.7,-4.52,0.73,-13.3,-14.03,-4.76,-13.97,-18.72,83.94,110.21,-26.27,-27.92
327,St. Bonaventure,A-10,,6,24,53.1,69.2,-16.13,-16.41,-2.65,-3.35,-11.89,-6.89,-18.78,77.52,105.56,-28.04,-26.14
328,Bethune-Cookman,SWAC,,10,21,60.4,62.4,-1.97,-11.33,-11.26,-7.44,-12.21,-6.6,-18.81,73.7,99.96,-26.26,-28.44
329,Canisius,MAAC,,10,21,55.1,64.7,-9.68,-7.45,-9.26,-12.44,-13.46,-5.48,-18.94,73.95,100.62,-26.67,-28.68
330,Winthrop,Big South,,16,15,60.8,61.3,-0.48,-15.53,-13.91,-0.2,-13.91,-5.21,-19.12,75.87,103,-27.14,-27.52
331,Ohio,MAC,,6,23,58.2,73.2,-14.93,-8.17,-1.53,-8.45,-9.55,-9.59,-19.13,77.54,104.16,-26.62,-27.55
332,Houston Christian,Southland,,6,23,49.1,63.7,-14.59,-14.97,-2.91,-1.14,-16.77,-2.37,-19.14,71.17,99.07,-27.9,-28.23
333,McNeese,Southland,,10,21,61.7,67.5,-5.77,-8.97,-4.82,-11.94,-9.32,-10.02,-19.34,76.01,101.59,-25.58,-30.28
334,Southern Illinois,MVC,,4,26,57.7,76.4,-18.7,-10.69,1.15,-7.56,-10.07,-9.37,-19.44,77.31,104.33,-27.02,-29.95
335,Southeast Missouri State,OVC,,6,23,61.5,73.9,-12.38,-2.67,-5.27,-15.12,-9.06,-10.88,-19.95,77.23,103.14,-25.91,-30.02
336,Stonehill,NEC,,17,16,63.6,66.2,-2.58,-9.41,-16.14,-11.82,-8.1,-12.04,-20.14,81.95,110.59,-28.64,-29.86
337,Rider,MAAC,,7,22,56,65.1,-9.14,-13.38,-11.14,-7.99,-12.77,-7.51,-20.28,73.4,102.24,-28.85,-30.57
338,Central Connecticut State,NEC,,11,19,61.3,66.9,-5.67,-9.1,-13.86,-8.66,-10.34,-10.8,-21.13,79.09,109.03,-29.94,-30.46
339,North Florida,A-Sun,,5,26,62,73.8,-11.77,-7.23,-4.91,-12.92,-10.38,-11.43,-21.81,78.67,108.94,-30.27,-28.75
340,Massachusetts-Lowell,AmEast,,3,25,47.3,62.3,-15,-5.03,-7.12,-10.87,-18.61,-3.51,-22.12,67.14,100.72,-33.58,-31.89
341,Mercyhurst,NEC,,9,18,65,68.1,-3.11,-15.1,-15.16,-4.19,-8.45,-14.42,-22.87,76.51,108.85,-32.34,-30.51
342,Seattle,WAC,,4,26,58,74,-15.93,-5.07,-4.94,-15.33,-10.81,-12.17,-22.98,74.72,106.01,-31.29,-31.25
343,Cal State Bakersfield,Big West,,2,28,49.9,67.3,-17.4,-5.55,-5.99,-9.7,-16.68,-6.72,-23.39,69.84,102.74,-32.9,-29.79
344,North Carolina Central,MEAC,,9,21,60.7,79.2,-18.53,-11.23,-3.78,-9.39,-6.76,-17.4,-24.16,73.2,103.87,-30.67,-33.81
345,Prairie View A&M,SWAC,,10,19,59.9,67.2,-7.34,-10.74,-11.49,-11.54,-14.02,-10.2,-24.22,73.53,107.42,-33.89,-30.36
346,Chicago State,NEC,,7,26,60.6,76.5,-15.88,-16.9,-8.7,-4.17,-8.69,-15.89,-24.57,74.54,107.65,-33.11,-33.06
347,Mississippi Valley State,SWAC,,8,23,59.6,73.9,-14.29,-10.45,-10.37,-6.43,-9.92,-14.75,-24.66,75.5,108.44,-32.95,-33.62
348,Cal State Northridge,Big West,,4,25,55.4,74.1,-18.69,-11,-6.15,-6.71,-11.39,-14.62,-26.01,71.34,106.27,-34.93,-35.41
349,American,Patriot,,1,29,54,72.5,-18.47,-2.76,-7.71,-16.69,-12.89,-13.28,-26.17,72.3,109.64,-37.35,-34.32
350,Saint Francis (PA),NEC,,11,19,54.8,65.9,-11.1,-11.27,-15.24,-10.94,-17.19,-9.15,-26.34,70.75,108.95,-38.2,-32.88
351,Arkansas-Pine Bluff,SWAC,,3,25,53.5,66.2,-12.68,-12.47,-10.63,-11.69,-16.68,-9.8,-26.48,67.64,104.52,-36.88,-32.92
352,Presbyterian,Big South,,6,24,55.3,66.7,-11.43,-19.63,-14.03,-5.06,-16.1,-10.44,-26.54,69.6,107.92,-38.31,-32.29
353,Northeastern,CAA,,3,25,49.9,67.7,-17.79,-21.91,-8.83,-0.45,-17.77,-8.84,-26.61,72.07,111.68,-39.61,-36.04
354,South Carolina Upstate,Big South,,9,21,53.3,67.4,-14.13,-12.91,-10.69,-12.28,-18.56,-8.24,-26.8,67.93,105.36,-37.43,-37.67
355,Le Moyne,NEC,,7,24,53.9,69,-15.1,-13.53,-12.1,-14.76,-16.43,-10.76,-27.19,72.99,112.91,-39.91,-40.57
356,UNC Asheville,Big South,,4,27,58.2,67.2,-9,-25.94,-14.09,-3.01,-14.6,-12.87,-27.47,70.58,109.1,-38.52,-37.29
357,Alabama State,SWAC,,6,24,49,70.5,-21.5,-18.45,-4.21,-11.17,-19.43,-8.42,-27.85,67.73,106.54,-38.8,-37.81
358,Niagara,MAAC,,3,25,57.1,77.8,-20.64,-16.5,-6.4,-9.23,-10.86,-17.73,-28.59,69.07,105.8,-36.73,-42.96
359,Wagner,NEC,,8,21,59,66.4,-7.41,-18.31,-16,-14.09,-17.21,-12.05,-29.26,68.27,110.2,-41.93,-45.88
360,Long Island University,NEC,,6,24,53.4,67.5,-14.13,-25.72,-15.43,-7.65,-18.11,-11.45,-29.56,68.49,110.98,-42.49,-43.98
361,South Carolina State,MEAC,,2,29,49.8,71,-21.16,-20.53,-10.51,-10.66,-20,-11.68,-31.68,66.55,111.69,-45.14,-42.92
362,Delaware State,MEAC,,5,24,54.5,71.7,-17.21,-19.1,-8.36,-10.4,-17.31,-14.81,-32.12,68.4,113.75,-45.35,-48.49
