,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
119,North Carolina,ACC,,14,18,67.2,70.3,-3.09,,7.91,,7.5,-2.68,4.82,64.69,51.66,13.03
120,Belmont,OVC,,24,9,74.7,63.5,11.15,,-4.96,,5.39,-0.86,4.52,66.37,53.22,13.16
121,Saint Joseph's,A-10,,14,15,62.8,63.7,-0.83,,4.98,,2.25,1.9,4.15,64.42,53.4,11.01
122,Wake Forest,ACC,,17,16,60.7,63.9,-3.15,,6.95,,0.71,3.09,3.8,58.71,47.3,11.41
123,Charlotte,CUSA,,19,12,74.7,71.2,3.52,,0.08,,11.25,-7.66,3.59,70.46,59.51,10.95
124,IU Indy,Summit,,21,11,67.1,59.8,7.28,,-0.22,,-0.96,4.41,3.45,54.7,45.08,9.62
125,Jacksonville,A-Sun,,22,11,65,54.6,10.33,,-5.08,,-1.9,5.33,3.43,50.02,38.51,11.51
126,New Mexico State,WAC,,26,5,68.6,59.8,8.81,,-4.62,,2.34,0.94,3.28,57.83,47.9,9.93
127,Little Rock,Sun Belt,,20,13,59.6,55.5,4.12,,-1.04,,-5.86,8.94,3.08,59.55,47.88,11.67
128,Xavier,Big East,,17,13,60.5,60.5,-0.03,,3.11,,-3.23,6.31,3.08,59.9,49.8,10.11
129,Iona,MAAC,,23,12,62.5,57.1,5.34,,-2.52,,-2.03,4.86,2.83,59.39,50.12,9.26
130,Northern Kentucky,Horizon,,19,14,72.5,65.1,7.33,,-1.41,,4.82,-2.16,2.66,62.47,53.72,8.75
131,Tulsa,AAC,,12,19,62,66.9,-4.94,,7.6,,1.39,1.27,2.66,61.32,51.48,9.84
132,Western Michigan,MAC,,17,15,65.8,63,2.78,,0.97,,0.96,1.68,2.64,57.87,49.39,8.48
133,UAB,CUSA,,15,16,61.6,57.2,4.42,,-2,,-4.33,6.76,2.42,59.65,48.87,10.78
134,Montana State,Big Sky,,21,10,74.9,65.5,9.39,,-5.05,,6.65,-4.35,2.3,58.44,51.17,7.26
135,Fresno State,MWC,,22,12,62.8,59.4,3.38,,0.79,,-1.89,4.16,2.26,55.28,47.1,8.18
136,Boise State,MWC,,19,11,68.7,63.9,4.8,,-2.14,,4.36,-2.11,2.25,57.87,50.01,7.85
137,Elon,CAA,,18,13,63.7,61,2.71,,0.71,,1.37,0.88,2.24,56.96,48.08,8.88
138,Yale,Ivy,,14,17,64.2,62.1,2.13,,0.94,,0.67,1.37,2.04,59.32,51.38,7.94
139,Marshall,CUSA,,21,12,70.5,64.5,5.97,,-1.62,,3.09,-1.46,1.64,59.01,50.68,8.33
140,Butler,Big East,,10,21,58.3,65.5,-7.23,,8.73,,-2.41,3.91,1.5,56.99,49.72,7.27
141,New Mexico,MWC,,17,15,61.3,57.6,3.72,,-2.22,,-5.49,6.99,1.5,55.12,47.59,7.53
142,Southern Illinois,MVC,,20,13,69.2,66.4,2.79,,-1.31,,3.56,-2.08,1.48,66.81,58.97,7.84
143,Fordham,A-10,,14,17,55.5,57.3,-1.81,,3.1,,-7.43,8.72,1.29,58.05,51.04,7.01
144,Toledo,MAC,,17,13,66.8,66.9,-0.03,,1.17,,2.3,-1.16,1.14,62.87,55.79,7.08
145,Pacific,WCC,,13,17,69.3,68.9,0.4,,1.04,,4.05,-3.04,1.01,56.3,49.88,6.42
146,Buffalo,MAC,,20,14,61.2,60.7,0.47,,0.31,,-4,4.78,0.78,54.67,47.66,7.01
147,Kansas,Big 12,,6,25,54.4,66.3,-11.84,,12.53,,-3.4,4.1,0.69,56.29,50.21,6.08
148,Sacramento State,Big Sky,,14,17,87.5,85.8,1.68,,-1.21,,21.47,-21,0.46,67.44,61.92,5.53
149,Old Dominion,CUSA,,17,17,62.3,62.6,-0.29,,0.54,,-2.29,2.54,0.24,57.95,51.42,6.54
