,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
194,Tennessee Tech,OVC,,23,10,68.7,63.1,5.67,0.13,-8.23,-3.95,-0.14,-3.68,-3.81,95.22,100.7,-5.48,-5.39
195,Stony Brook,CAA,,18,13,67.9,65.8,2.1,0.93,-5.94,-1.02,1.14,-4.98,-3.84,92.41,98.11,-5.7,-5.8
196,Northern Illinois,MAC,,16,17,70.7,71.5,-0.82,1.97,-3.16,-3.08,2.23,-6.2,-3.98,96.42,102.74,-6.31,-5.84
197,Idaho,Big Sky,,13,17,69.6,71.9,-2.37,4.13,-1.66,-3.81,3.84,-7.86,-4.03,93.44,99.51,-6.07,-5.81
198,Nevada,MWC,,10,21,64.7,68.5,-3.81,4.81,1.37,-5.42,-0.64,-3.59,-4.23,90.45,96.91,-6.46,-5.78
199,Yale,Ivy,,13,14,59.5,64.6,-5.11,-3.09,0.86,-0.99,-4.48,0.23,-4.25,85.76,92.25,-6.49,-6.22
200,Buffalo,MAC,,12,16,65.1,65.4,-0.29,-2.97,-4.04,-1.53,-2.98,-1.29,-4.26,91.57,98.59,-7.02,-6.18
201,Delaware,CAA,,16,14,66,64.7,1.27,-9.65,-5.56,5.09,-0.8,-3.49,-4.3,84.67,91.72,-7.05,-6.83
202,Jacksonville State,A-Sun,,16,14,62.5,57.9,4.6,2.37,-5.6,-5.22,-6.23,1.85,-4.38,85.18,91.54,-6.36,-6.87
203,Dayton,A-10,,7,21,65.2,70.1,-4.89,2.53,2.02,-7.19,0.47,-4.86,-4.39,90.92,97.47,-6.55,-7.17
204,Lipscomb,A-Sun,,20,12,69.4,66.3,3.09,-3.61,-4.33,0.44,1.29,-5.72,-4.43,93.06,99.04,-5.98,-6.42
205,Sam Houston,WAC,,13,17,68,68.6,-0.67,3.91,-0.69,-4.84,0.48,-4.96,-4.48,88.88,95.5,-6.63,-7.01
206,Louisiana,Sun Belt,,16,15,57.9,57.8,0.1,5.16,-1.79,-9.22,-10.85,6.34,-4.51,81.56,87.52,-5.95,-6.27
207,Florida International,CUSA,,14,19,68.8,71.5,-2.7,2.61,-0.04,-3.08,2.35,-6.99,-4.63,89.18,96.52,-7.33,-7.36
208,Fresno State,MWC,,10,22,58.9,61.3,-2.34,0.82,-0.14,-2.74,-6.54,1.9,-4.64,89.89,96.95,-7.06,-7.26
209,Eastern Kentucky,A-Sun,,18,14,76.4,69.5,6.84,-3.06,-7.32,0.41,6.09,-10.93,-4.84,92.74,100.01,-7.27,-7.48
210,Lehigh,Patriot,,17,14,70.5,65.6,4.94,2.66,-8.57,-3.26,2.57,-7.46,-4.9,90.81,98.29,-7.48,-7.85
211,Georgia Southern,Sun Belt,,21,10,79,70.7,8.35,-4.68,-7.81,-0.01,5.98,-11,-5.03,91.18,98.75,-7.57,-8.02
212,Virginia Commonwealth,A-10,,7,22,56.9,62.6,-5.76,5.36,0.71,-6.3,-8.02,2.96,-5.05,85.41,93.74,-8.32,-8.85
213,Little Rock,OVC,,21,11,52.6,51.5,1.09,0.53,-6.15,-6.21,-16.06,11,-5.06,76.77,83.25,-6.48,-8.86
214,Milwaukee,Horizon,,11,19,58.8,60.9,-2.1,0.24,-2.97,-4.43,-7.47,2.4,-5.07,87.22,94.52,-7.3,-8.52
215,Eastern Illinois,OVC,,21,8,68.1,61.2,6.83,-0.39,-11.77,-2.7,-2.8,-2.3,-5.1,87.3,94.7,-7.4,-7.67
216,North Alabama,A-Sun,,15,15,66.3,64.7,1.63,-1.26,-3.76,-1.59,-2.57,-2.56,-5.13,88.48,96.1,-7.62,-8.96
217,Florida Atlantic,CUSA,,12,18,64.8,66.9,-2.1,5.15,0.14,-7.67,-2.13,-3.08,-5.22,86.65,94.18,-7.53,-8.91
218,Idaho State,Big Sky,,11,19,55.8,58.3,-2.5,6.19,-0.97,-10.22,-9.92,4.7,-5.22,81.6,89.99,-8.39,-9.19
219,Texas A&M-Corpus Christi,Southland,,19,12,61.7,56.4,5.29,3.43,-7.58,-7.06,-7.12,1.6,-5.51,84.71,92.74,-8.03,-9.02
220,Coastal Carolina,Sun Belt,,14,16,70,68.1,1.93,10.84,-3.23,-10.63,1.91,-7.53,-5.62,92.19,99.4,-7.21,-10.98
221,Indiana State,MVC,,11,19,64.5,67.4,-2.97,-6.27,-2.66,1.47,-3.22,-2.41,-5.63,86.02,94.14,-8.12,-10.28
222,Albany (NY),AmEast,,22,12,58.1,55,3.15,-0.33,-8.98,-3.6,-10.02,4.19,-5.83,86.44,94.56,-8.12,-8.71
223,Lamar,Southland,,20,12,64.4,60.3,4.13,-10.61,-8.9,4.11,-4.95,-0.95,-5.9,92.11,99.73,-7.63,-9.3
224,UC San Diego,Big West,,13,17,59.3,63.4,-4.13,1.86,-1.89,-6.2,-4.76,-1.27,-6.02,86.51,95.52,-9.01,-9.28
225,Oral Roberts,Summit,,12,19,78.1,82.4,-4.29,3.53,0.37,-5.61,10.85,-16.92,-6.07,92.36,99.8,-7.44,-9.59
226,Portland State,Big Sky,,15,16,60.6,62.7,-2.06,-6.34,-1.72,1.28,-5.67,-0.5,-6.16,89.34,99.68,-10.34,-9.92
227,Maine,AmEast,,16,14,59.7,60.3,-0.53,4.78,-5.78,-7.73,-6.63,0.33,-6.31,88.98,98.78,-9.81,-10.32
228,Eastern Michigan,MAC,,15,15,63.7,65.6,-1.93,5.48,-3.97,-9.19,-5.85,-0.64,-6.49,82.66,92.05,-9.39,-8.99
229,South Dakota,Summit,,14,16,69.8,69,0.77,2.34,-3.13,-7.29,-2.35,-4.49,-6.84,91.77,101.22,-9.46,-9.93
230,Northern Colorado,Big Sky,,13,18,60.7,63.1,-2.32,1.23,-2.77,-5.4,-7.78,0.91,-6.88,86.31,97.59,-11.27,-8.7
231,Kennesaw State,A-Sun,,15,16,67.7,67.2,0.48,-5.29,-4,1.4,-0.78,-6.12,-6.9,89.08,98.93,-9.85,-9.74
232,Texas-Rio Grande Valley,WAC,,12,18,62.3,67.5,-5.27,-2.38,-1.01,-2.6,-3.93,-3.09,-7.01,87.64,97.61,-9.97,-9.78
233,St. Thomas,Summit,,13,17,63.3,64.3,-1,-6.24,-6.05,-1.03,-6.59,-0.46,-7.05,85.13,94.97,-9.83,-9.09
234,Western Michigan,MAC,,12,17,63.2,69.1,-5.97,-12.42,1.23,5.34,-4.09,-3.04,-7.12,85.66,96.09,-10.42,-10.63
235,Jacksonville,A-Sun,,11,17,62.5,63.3,-0.71,2.78,-2.36,-6.01,-6.18,-0.95,-7.13,88.45,99.9,-11.45,-9.9
236,Miami (OH),MAC,,12,19,70.5,74.3,-3.81,5.27,-1.58,-9.41,3.58,-10.72,-7.14,94.45,104.23,-9.78,-9.59
237,Monmouth,CAA,,18,16,64.3,63.6,0.65,0.29,-7.59,-7.06,-4.17,-3.03,-7.19,88.39,99.27,-10.88,-11.02
238,North Carolina A&T,CAA,,18,12,68.1,62.7,5.4,0.65,-6.13,-5.98,-2.5,-4.81,-7.31,87.75,97.92,-10.17,-10.81
239,William & Mary,CAA,,18,13,66.3,66.7,-0.39,-2.66,-6.95,-4.04,-0.96,-6.38,-7.34,90.21,100.78,-10.57,-10.88
240,Cal Poly,Big West,,10,18,55.3,62,-6.71,0.97,0.78,-6.12,-8.25,0.88,-7.37,84.57,96.11,-11.55,-10.22
241,Tennessee-Martin,OVC,,13,17,64.2,64.3,-0.07,-3.87,-7.42,-3.56,-4.4,-3.08,-7.49,86.92,97.75,-10.83,-11.75
242,Brown,Ivy,,11,15,63.4,66.1,-2.65,-1.9,-2.67,-3.17,-2.87,-4.81,-7.67,83.69,94.79,-11.1,-10.82
243,Appalachian State,Sun Belt,,11,20,67.1,69,-1.9,4.97,-2.69,-7.66,-1.42,-6.38,-7.79,86.24,96.92,-10.68,-11.81
244,Siena,MAAC,,19,13,67.9,63.8,4.13,3.69,-11.98,-10.36,-0.08,-7.77,-7.85,87.14,98.82,-11.68,-12.11
245,Colgate,Patriot,,16,14,58.4,54.6,3.83,0.4,-10.42,-3.56,-11.75,3.34,-8.42,80.93,93.41,-12.48,-11.72
246,Georgia State,Sun Belt,,12,21,61.3,61.4,-0.03,-3.3,-4.23,-1.58,-8.22,-0.2,-8.42,84.77,96.8,-12.02,-11.14
247,Purdue Fort Wayne,Horizon,,14,19,62.6,65.7,-3.03,-6.58,-4.05,0.25,-5.11,-3.47,-8.58,84.57,96.53,-11.96,-11.6
248,Cornell,Ivy,,10,17,58.6,63.2,-4.63,4.74,-2.09,-8.97,-7.34,-1.25,-8.59,81.1,93.51,-12.41,-11.56
249,Loyola (IL),A-10,,6,24,55.8,64.8,-8.97,-0.19,0.12,-4.49,-8.85,0,-8.84,83.69,97.01,-13.33,-11.25
250,Bucknell,Patriot,,13,17,56.9,59.2,-2.3,2.22,-6.56,-6.5,-9.95,1.09,-8.86,82.71,96.27,-13.56,-12.18
251,San Jose State,MWC,,6,25,57.8,67.6,-9.87,-3.42,0.98,-1.19,-6.35,-2.55,-8.9,82.36,95.23,-12.87,-11.9
252,High Point,Big South,,17,15,64.6,61.1,3.56,0.61,-10.69,-7.33,-4.52,-4.48,-8.99,87.81,100.26,-12.45,-12.54
253,Arkansas State,Sun Belt,,13,19,69.4,71.5,-2.03,-2.48,-5.74,-3.62,0.02,-9.31,-9.29,87.77,100.79,-13.02,-12.53
254,Loyola Marymount,WCC,,7,23,56.2,69.4,-13.17,-6.39,4.7,-0.16,-7.46,-1.84,-9.3,84.57,99,-14.43,-13.13
255,Stetson,A-Sun,,13,20,59.4,61.2,-1.73,0.06,-4.43,-5.68,-9.24,-0.16,-9.39,81.35,94.9,-13.55,-13.75
256,Cal State Northridge,Big West,,7,24,58.5,67.6,-9.1,-4.1,-0.38,-4.59,-4.56,-4.92,-9.47,86.38,100.81,-14.44,-12.79
257,Fairfield,MAAC,,15,15,59.9,60.1,-0.2,-0.63,-9.38,-6.48,-8.93,-0.66,-9.58,79.59,93.14,-13.55,-13.4
258,Niagara,MAAC,,18,13,65.8,65.2,0.55,6.39,-10.38,-6.51,-1.71,-8.12,-9.83,80.81,95.26,-14.44,-13.35
259,UC Riverside,Big West,,6,26,51.4,60.2,-8.78,0.58,-0.8,-7.96,-12.7,2.76,-9.93,75.64,90.54,-14.9,-13.35
260,Cal State Bakersfield,Big West,,8,23,51.8,61.4,-9.65,-0.4,-0.32,-4.72,-11.64,1.67,-9.97,75.62,90.77,-15.15,-13.72
261,Tarleton State,WAC,,8,21,62.9,67.3,-4.41,-5.03,-2.41,-1.53,-6.18,-3.82,-10,81.36,96.07,-14.71,-13.23
262,Omaha,Summit,,15,17,66.1,70.6,-4.53,-0.3,-2.66,-3.02,-3.42,-6.77,-10.19,86.04,100.75,-14.71,-14.53
263,Samford,Southern,,13,17,65.6,67.6,-2.03,-7.55,-4.41,-0.45,-3.68,-6.65,-10.34,86.94,101.36,-14.42,-14.17
264,Manhattan,MAAC,,16,17,59.8,59,0.82,-9.31,-11.21,-1.15,-9.75,-0.64,-10.4,78.04,93.06,-15.03,-14.74
265,Denver,Summit,,12,18,65.6,70.1,-4.47,-7.49,-4.77,-2.94,-4.52,-5.91,-10.43,88.53,103.39,-14.86,-13.91
266,Hampton,CAA,,12,18,61.8,64.9,-3.07,-9.39,-4.6,0.44,-6.02,-4.65,-10.67,80.23,95.52,-15.29,-14.96
267,Southern,SWAC,,18,15,57.5,60.3,-2.79,1.81,-5.49,-11.4,-12.55,1.8,-10.75,80.21,95.07,-14.86,-14.92
268,Southeast Missouri State,OVC,,16,15,61.6,63.2,-1.65,-3.7,-7.43,-4.14,-5.98,-4.92,-10.9,80.23,95.66,-15.43,-15.67
269,Central Michigan,MAC,,6,23,64.6,74.3,-9.72,-3.63,-1.21,-0.31,-2.62,-8.31,-10.93,87.46,102.76,-15.31,-16.29
270,Sacred Heart,NEC,,19,14,62.3,59.3,3,-6.09,-12.95,-3.73,-8.04,-2.98,-11.02,78.96,94.63,-15.67,-17.01
271,East Texas A&M,Southland,,14,19,65.6,69.1,-3.48,1.77,-6.08,-10.72,-2.62,-8.46,-11.08,85.78,100.48,-14.7,-16.58
272,Elon,CAA,,9,21,58.1,63.7,-5.67,-0.93,-5.51,-7.16,-9.39,-1.78,-11.17,80.53,96.89,-16.35,-15.43
273,Seattle,WAC,,6,24,59.7,70.2,-10.47,-9.47,-0.73,0.41,-5.98,-5.22,-11.2,82.02,97.51,-15.5,-16.17
274,Howard,MEAC,,16,14,59.9,61.6,-1.73,-9.67,-9.63,-1.93,-7.7,-3.66,-11.36,78.76,94.38,-15.62,-17.25
275,Oakland,Horizon,,13,17,65.5,71.7,-6.2,-7.52,-3.5,-2.29,-2.98,-8.38,-11.36,84.37,100.51,-16.15,-17.52
276,Robert Morris,Horizon,,11,19,57.8,61.2,-3.4,-6.23,-4.36,-2,-11.94,0.53,-11.4,76.85,93.57,-16.72,-17.56
277,Valparaiso,MVC,,7,23,59.6,71.4,-11.83,-4.6,0.13,-4.52,-6.27,-5.44,-11.7,85.08,102.1,-17.02,-16.59
278,Evansville,MVC,,11,19,62.8,73.2,-10.4,-2.1,-1.37,-4.33,-4.54,-7.23,-11.77,82.64,98.76,-16.12,-16.06
279,Morgan State,MEAC,,17,12,59.7,57.8,1.9,-5.3,-10.08,-6.74,-10.11,-1.66,-11.77,80.7,97.91,-17.21,-18.54
280,Ohio,MAC,,6,23,62.8,73.4,-10.66,7.03,-1.17,-9.35,-4.62,-7.21,-11.82,84.15,101.03,-16.88,-18.4
281,UNC Greensboro,Southern,,16,14,65.5,64,1.5,-8.19,-8.7,0.05,-6.77,-5.42,-12.18,84.05,101.57,-17.53,-17.2
282,Campbell,Big South,,16,15,58.2,52.5,5.65,-4.69,-14.71,-4.93,-15.46,3.12,-12.33,76.69,93.66,-16.97,-19.24
283,Incarnate Word,Southland,,15,14,58.6,58.3,0.31,-4.23,-8.43,-5.39,-11.57,-0.78,-12.35,84.2,102.12,-17.92,-19.44
284,College of Charleston,CAA,,11,18,66,67.6,-1.62,0.33,-6.93,-13.4,-4.08,-8.48,-12.55,83.51,102.38,-18.87,-20.43
285,Bellarmine,A-Sun,,9,22,60.6,68.2,-7.61,-2.65,-3.05,-8,-7.01,-5.83,-12.84,79.06,96.69,-17.63,-20.56
286,Southern Indiana,OVC,,12,17,65,63.8,1.14,8.38,-9.51,-18.1,-7.23,-5.74,-12.97,77.86,95.88,-18.02,-19.5
287,Grambling,SWAC,,10,20,56.1,62.5,-6.43,0.72,-6.61,-13.56,-11.97,-1.07,-13.04,79.1,97.68,-18.59,-19.19
288,Arkansas-Pine Bluff,SWAC,,14,17,64.5,66.6,-2.13,-8.61,-9.64,-2.26,-5.3,-7.84,-13.14,79.87,97.72,-17.85,-18.01
289,Marist,MAAC,,12,18,57.6,62.1,-4.47,-6.07,-9.07,-5.93,-10.43,-3.11,-13.53,79.16,99.04,-19.88,-17.88
290,Binghamton,AmEast,,13,17,61.1,61.1,0,-7.37,-12.24,-2.89,-8.23,-5.54,-13.77,78.41,98.33,-19.92,-21.66
291,Bethune-Cookman,SWAC,,11,18,60.7,64.6,-3.93,-4,-9.89,-9.73,-8.79,-5.03,-13.82,78.47,96.76,-18.3,-20.54
292,Army,Patriot,,13,17,60.9,64.7,-3.8,-2.3,-9.2,-11.45,-6.84,-7.12,-13.96,83.41,103.84,-20.43,-19.74
293,Maryland-Baltimore County,AmEast,,14,15,63.5,66.1,-2.59,-4.31,-11.32,-5.45,-4.68,-9.39,-14.07,84.1,104.34,-20.24,-19.53
294,Radford,Big South,,14,17,63.6,62.1,1.52,-6.32,-13.58,-7.6,-8.54,-5.59,-14.13,79.95,99.61,-19.66,-19.72
295,Hofstra,CAA,,12,20,58.2,63,-4.84,-8.27,-8.46,-4.57,-11.19,-3.05,-14.24,78.18,99.14,-20.96,-19.52
296,Weber State,Big Sky,,6,25,57,67.3,-10.29,-9.7,-4.02,-1.52,-10.55,-3.76,-14.32,76.02,96.09,-20.07,-20.02
297,Prairie View A&M,SWAC,,15,15,66,68.2,-2.2,-8.13,-7.64,-5.45,-5.62,-8.76,-14.38,79,98.06,-19.06,-19.17
298,Western Illinois,Summit,,10,20,67.5,73.2,-5.67,-2.13,-6.79,-8.42,-4.58,-9.97,-14.54,80.63,100.16,-19.53,-19.28
299,Dartmouth,Ivy,,2,26,53.7,69.3,-15.61,-10.29,0.96,-4,-10.01,-4.64,-14.64,78.01,99.21,-21.2,-20.06
300,Wright State,Horizon,,8,24,66.1,77.6,-11.5,-4.17,-0.91,-7.62,0.13,-14.88,-14.75,93.41,114.71,-21.3,-22.31
301,American,Patriot,,9,22,58.2,67.1,-8.9,-6.69,-5.88,-7.94,-8.24,-6.55,-14.79,78.48,99.25,-20.77,-21.4
302,Furman,Southern,,11,19,63.3,63.9,-0.6,-9.13,-7.58,-3.84,-7.73,-7.11,-14.84,80.64,101.2,-20.56,-18.76
303,Coppin State,MEAC,,8,22,55.2,59.9,-4.67,-11.4,-10.37,-3.54,-12.75,-2.29,-15.04,73.83,95.62,-21.78,-21.77
304,Kansas City,Summit,,9,23,63.3,72.1,-8.72,-4.48,-4.09,-9.99,-7.77,-7.55,-15.32,80.38,101.52,-21.15,-21.89
305,Alabama State,SWAC,,16,15,63.3,70.2,-6.9,-7.88,-7.89,-4.89,-4.86,-10.53,-15.39,85.08,105.92,-20.84,-21.7
306,Mount St. Mary's,MAAC,,12,19,57.5,63.1,-5.65,-13.17,-8.97,-2.28,-11.38,-4.32,-15.7,77.57,99.77,-22.2,-21.05
307,Utah Valley,WAC,,6,24,55.1,67.9,-12.8,-7.74,-1.72,-7.74,-13.28,-2.47,-15.76,77.7,101.14,-23.44,-21.98
308,Alcorn State,SWAC,,12,17,64.1,66.4,-2.31,-3.39,-10.21,-7.57,-8.24,-7.75,-15.98,76.85,98.25,-21.39,-22.78
309,Houston Christian,Southland,,11,18,58.7,63.1,-4.41,-11,-5.76,-3.04,-11.59,-4.4,-15.99,79.29,101.36,-22.08,-21.77
310,Alabama A&M,SWAC,,14,15,56.8,61.3,-4.52,-0.78,-11.54,-9.61,-13.41,-2.66,-16.06,75.05,96.97,-21.92,-21.92
311,Wagner,NEC,,13,15,63.1,65.7,-2.57,-16.19,-13.67,1.98,-6.92,-9.33,-16.25,80.23,103.02,-22.79,-21.74
312,NJIT,AmEast,,13,16,60.5,63.8,-3.31,0.53,-13.22,-11.24,-8.2,-8.33,-16.53,81.21,105.03,-23.82,-22.17
313,Loyola (MD),Patriot,,10,21,55.5,62.1,-6.61,-2.74,-10.11,-10.55,-12.54,-4.18,-16.72,79.45,104.01,-24.56,-22.5
314,McNeese,Southland,,12,19,65.5,70,-4.42,-15.55,-7.9,0.62,-4.55,-12.18,-16.73,78.99,101.15,-22.17,-23.18
315,Maryland-Eastern Shore,MEAC,,10,20,61,63.4,-2.43,-6.9,-9.98,-6.69,-8.94,-7.89,-16.84,77.29,100.87,-23.58,-23.85
316,St. Bonaventure,A-10,,6,26,52,67.5,-15.44,-5.84,-1.83,-9.5,-13.05,-4.21,-17.27,75.35,100.47,-25.12,-23.18
317,New Orleans,Southland,,8,20,61.5,67.2,-5.75,-14.97,-11.56,-2.57,-7.95,-9.36,-17.31,77,100.94,-23.94,-24.39
318,Tennessee State,OVC,,11,18,66.2,71.3,-5.14,-7.93,-8.58,-2.69,-5.25,-12.06,-17.31,80.97,104.66,-23.69,-27.61
319,Bradley,MVC,,4,28,57,73.3,-16.28,-4.52,0.12,-10.8,-9.53,-7.8,-17.33,81.35,107.19,-25.84,-24.46
320,Central Arkansas,A-Sun,,8,18,51.4,61.8,-10.38,-16.3,-4.85,-0.98,-17.41,0.02,-17.39,73.34,99.34,-26,-25.31
321,North Carolina Central,MEAC,,15,16,66.7,68.5,-1.77,-6.45,-11.03,-6.89,-2.6,-14.79,-17.39,79.14,102.23,-23.09,-23.7
322,Massachusetts-Lowell,AmEast,,5,22,53.3,64.4,-11.11,-10.6,-6.54,-7.65,-13.31,-4.34,-17.65,73.93,99.53,-25.61,-27.8
323,Canisius,MAAC,,9,21,60,66.8,-6.83,-10.97,-10.84,-6.39,-7.74,-9.93,-17.67,78.84,104.31,-25.47,-27.66
324,UNC Wilmington,CAA,,5,25,53.6,64,-10.43,-9.16,-6.02,-8.01,-14.62,-3.08,-17.7,74.66,99.61,-24.95,-27.15
325,Presbyterian,Big South,,13,17,64.9,64.8,0.1,-13.32,-13.21,-1.95,-8.51,-9.66,-18.17,79.44,104.54,-25.09,-26.62
326,Rider,MAAC,,10,21,59.6,67.2,-7.58,0.73,-10.74,-14.03,-9.64,-8.68,-18.32,81.53,107.96,-26.43,-27.92
327,SIU Edwardsville,OVC,,9,22,64,77.3,-13.35,-16.41,-5.04,-3.35,-2.81,-15.59,-18.4,80.92,105.51,-24.59,-26.14
328,Lafayette,Patriot,,10,19,54.4,63.2,-8.79,-11.33,-9.68,-7.44,-13.57,-4.91,-18.47,75.66,103.05,-27.39,-28.44
329,Louisiana-Monroe,Sun Belt,,7,23,64.9,72,-7.07,-7.45,-6,-12.44,-6.27,-12.62,-18.89,78.32,103.61,-25.29,-28.68
330,South Alabama,Sun Belt,,7,23,55.3,65.7,-10.47,-15.53,-6.73,-0.2,-14.98,-4.09,-19.07,72.59,99.63,-27.04,-27.52
331,Morehead State,OVC,,11,20,58.3,65.9,-7.68,-8.17,-8.24,-8.45,-12.79,-6.46,-19.24,75.48,102.96,-27.49,-27.55
332,Merrimack,NEC,,15,16,61.5,66,-4.52,-14.97,-12.98,-1.14,-7.95,-11.33,-19.28,81.4,108.73,-27.32,-28.23
333,Northwestern State,Southland,,11,18,60.3,67.8,-7.48,-8.97,-7.57,-11.94,-10.05,-9.25,-19.3,76.6,102.67,-26.07,-30.28
334,St. Francis (NY),NEC,,11,19,57.4,61.9,-4.5,-10.69,-12.39,-7.56,-13.23,-6.09,-19.32,75.11,103.06,-27.95,-29.95
335,Utah State,MWC,,4,26,58.3,76.8,-18.53,-2.67,0.33,-15.12,-6.57,-12.85,-19.43,78.21,104.23,-26.02,-30.02
336,Detroit Mercy,Horizon,,5,25,56.1,72,-15.93,-9.41,-2.96,-11.82,-12.41,-7.27,-19.68,74.17,101.8,-27.63,-29.86
337,Florida A&M,SWAC,,6,23,59,71,-12,-13.38,-7.21,-7.99,-9.26,-10.45,-19.71,76.52,102.95,-26.43,-30.57
338,North Florida,A-Sun,,7,20,59.7,71.2,-11.52,-9.1,-3.34,-8.66,-10.66,-9.23,-19.9,75.17,103.41,-28.24,-30.46
339,Bryant,AmEast,,9,21,61.6,63.6,-2.03,-7.23,-12.89,-12.92,-10.27,-10.12,-20.39,78.2,107.8,-29.59,-28.75
340,Stonehill,NEC,,9,20,60,65.6,-5.66,-5.03,-14.26,-10.87,-10.84,-9.68,-20.51,80.29,110.04,-29.75,-31.89
341,New Hampshire,AmEast,,7,21,53.6,62.8,-9.18,-15.1,-9.48,-4.19,-15.89,-5.3,-21.19,72.13,103.11,-30.98,-30.51
342,Texas Southern,SWAC,,2,27,60.3,76.7,-16.34,-5.07,-5.14,-15.33,-7.05,-14.43,-21.49,77.15,104.59,-27.44,-31.25
343,Queens (NC),A-Sun,,8,21,59,68.6,-9.55,-5.55,-7.04,-9.7,-9.84,-11.82,-21.66,75.18,104.95,-29.77,-29.79
344,UNC Asheville,Big South,,12,19,57.4,62.7,-5.32,-11.23,-12.55,-9.39,-14.44,-7.35,-21.79,71.99,101.93,-29.94,-33.81
345,Long Island University,NEC,,7,22,56.7,67.2,-10.52,-10.74,-11.68,-11.54,-12.6,-9.6,-22.2,72.68,104.22,-31.54,-30.36
346,Longwood,Big South,,9,21,59.9,73.4,-13.47,-16.9,-9.04,-4.17,-7.87,-14.64,-22.51,75,105.56,-30.56,-33.06
347,Delaware State,MEAC,,7,19,48.9,58.8,-9.92,-10.45,-8.87,-6.43,-20.86,-1.68,-22.53,68.32,101.57,-33.26,-33.62
348,Western Carolina,Southern,,9,21,54.5,65.3,-10.77,-11,-8.78,-6.71,-15.11,-7.59,-22.71,74.67,108.06,-33.39,-35.41
349,Central Connecticut State,NEC,,7,22,56.8,64.4,-7.66,-2.76,-15.19,-16.69,-13.83,-9.03,-22.85,74.88,108.48,-33.6,-34.32
350,South Carolina Upstate,Big South,,11,20,52.9,63.4,-10.55,-11.27,-11.8,-10.94,-17.81,-6.54,-24.35,66.43,100.16,-33.73,-32.88
351,Winthrop,Big South,,8,22,51.8,59.8,-8.03,-12.47,-15.19,-11.69,-19.06,-5.51,-24.57,70.59,106.11,-35.53,-32.92
352,Lindenwood,OVC,,2,24,56.2,70.7,-14.42,-19.63,-7.2,-5.06,-13.43,-11.17,-24.6,75.13,110.76,-35.63,-32.29
353,Nicholls State,Southland,,5,24,58.1,71.9,-13.83,-21.91,-11,-0.45,-11.76,-13.89,-25.64,73.81,109.33,-35.52,-36.04
354,Saint Francis (PA),NEC,,7,22,52,66.5,-14.52,-12.91,-11.44,-12.28,-16.53,-9.42,-25.95,69.28,106.07,-36.79,-37.67
355,Navy,Patriot,,1,29,52.8,69.6,-16.77,-13.53,-9.35,-14.76,-15.11,-11.01,-26.12,70.53,108.01,-37.48,-40.57
356,Saint Peter's,MAAC,,0,30,50.2,69,-18.77,-25.94,-9.56,-3.01,-18.31,-10.02,-28.33,66.33,105.96,-39.64,-37.29
357,Charleston Southern,Big South,,5,25,53.4,70.2,-16.87,-18.45,-9.79,-11.17,-15.78,-12.67,-28.45,67.72,106.32,-38.61,-37.81
358,Mississippi Valley State,SWAC,,2,27,55.3,78.2,-22.93,-16.5,-8.37,-9.23,-14.34,-16.96,-31.3,70.11,111.31,-41.2,-42.96
359,South Carolina State,MEAC,,3,27,46.8,69.4,-22.57,-18.31,-9.03,-14.09,-20.42,-11.18,-31.59,66.07,112.23,-46.16,-45.88
360,Chicago State,Ind,,6,22,60.5,80,-19.46,-25.72,-7.92,-7.65,-10.25,-21.67,-31.92,70.74,112,-41.27,-43.98
361,Hartford,Ind,,2,26,47,70.2,-23.14,,-13.87,,-26.43,-14.79,-41.21,55.8,114,-58.2,
