,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
62,IU Indy,Horizon,,15,5,70.1,57.3,12.85,-0.12,-0.54,12.39,5.09,7.21,12.31,80.03,59.42,20.61,15.99
63,Clemson,ACC,,12,14,70.7,68.8,1.85,8.66,10.42,3.55,9.68,2.59,12.27,78.08,57.79,20.28,16.82
64,Tulane,AAC,,18,9,68.7,61,7.78,4.63,4.34,8.69,7,5.12,12.12,78.47,56.77,21.71,15.82
65,Houston,AAC,,17,8,66.5,61.7,4.8,-2.8,7.07,14.78,5.8,6.07,11.87,70.21,50.06,20.15,16.03
66,Rice,CUSA,,23,4,69.9,58.9,11.04,3.94,0.76,7.74,4.19,7.61,11.8,76,53.99,22.01,14.9
67,DePaul,Big East,,14,10,81.5,78.4,3.17,18.55,8.62,-6.93,21.28,-9.49,11.78,84.91,66.74,18.18,16.1
68,New Mexico,MWC,,15,5,81.2,68.5,12.7,-4.15,-0.61,15.54,12.6,-1.32,11.28,77.61,58.92,18.7,14.92
69,Utah,Pac-12,,5,16,60.2,70.9,-10.71,7.21,21.69,4.05,6.65,4.33,10.97,74.79,57.18,17.61,16.19
70,Florida,SEC,,12,14,72,70.2,1.77,-4.15,9.11,15.2,9.46,1.42,10.88,78.63,59.15,19.48,14.34
71,Bucknell,Patriot,,9,1,70.6,55.5,15.1,9.83,-4.32,1.21,2.98,7.8,10.78,84.47,67.95,16.52,14.6
72,Northern Iowa,MVC,,17,13,69.2,64.9,4.3,-3.56,6.45,14.51,6.88,3.88,10.75,77.24,58.59,18.65,13.81
73,Bowling Green,MAC,,21,8,73.3,64.7,8.69,11.23,1.92,0.38,7.15,3.46,10.61,79.91,62.15,17.75,15.33
74,Villanova,Big East,,17,7,70.9,66.5,4.46,10.06,6.14,1.66,7.65,2.94,10.59,81.45,64.57,16.88,14.47
75,Boston College,ACC,,7,12,68.2,70.8,-2.68,11.45,13.14,0.49,8.57,1.89,10.46,79.35,62.41,16.94,11.45
76,Illinois State,MVC,,15,9,68.3,60.2,8.13,7.33,3.61,2.59,3.43,6.7,10.13,73.46,56.71,16.75,13.69
77,Purdue,Big Ten,,7,16,66.2,73.5,-7.26,12.8,17.24,-0.95,5.53,4.45,9.98,78.89,62.73,16.16,12.56
78,Kansas State,Big 12,,9,18,63,67.1,-4.04,-7.79,14.01,17.22,2.73,7.24,9.97,74.04,57.27,16.77,12.65
79,Fresno State,MWC,,17,11,77.8,70.6,7.11,11.62,2.73,1.34,13.41,-3.57,9.84,77.69,61.09,16.6,11.78
80,Kansas,Big 12,,7,18,70.4,73.4,-3.04,12.7,12.84,-1.23,9.8,0,9.8,77.43,60.18,17.25,11.19
81,Belmont,OVC,,21,6,69.4,58.6,10.78,-1.26,-1.27,10.46,3.4,6.11,9.51,78.69,59.99,18.7,12.39
82,Milwaukee,Horizon,,20,8,64.1,55.7,8.39,6,0.79,4.27,-1.06,10.24,9.19,73.79,57.3,16.5,12.1
83,Bradley,MVC,,17,12,70.7,65.3,5.38,10.16,5.25,-0.43,7.33,1.68,9,76.97,62.13,14.84,10.19
84,Creighton,Big East,,10,12,62.1,64.6,-2.45,0.16,11.07,8.4,0.97,7.65,8.62,76.46,62.91,13.55,11.24
85,Colorado State,MWC,,15,6,77.6,66.5,11.14,-5.55,0.85,14,7.56,0.92,8.48,64.6,51.42,13.19,10.45
86,Texas Christian,Big 12,,10,15,68,73.1,-5.12,14.24,13.49,-1.6,7.22,1.15,8.37,72.85,57.15,15.7,12.12
87,UC Davis,Big West,,13,3,64.5,56.8,7.75,5.84,0.46,2.48,-0.98,9.2,8.21,67.53,51.88,15.65,11.36
88,Wright State,Horizon,,19,8,62.8,56,6.81,7.03,1.39,2.81,-1.74,9.94,8.2,73.2,57.87,15.33,11.12
89,Texas Tech,Big 12,,10,15,71.3,73.8,-2.56,11.37,12.36,-1.28,10.14,-2.33,7.82,74.99,60.68,14.31,10.84
